text,intent
Quels sont les lieux à visiter à Rabat ?,find_place
Montre-moi des monuments intéressants,find_place
Je cherche des endroits touristiques,find_place
Quels sites historiques puis-je voir ?,find_place
Des idées de lieux à visiter aujourd'hui ?,find_place
Peux-tu me recommander une kasbah ?,find_place
Quels musées sont ouverts ?,find_place
Je veux découvrir la médina,find_place
Y a-t-il des monuments près d'ici ?,find_place
Suggère-moi un endroit sympa à visiter,find_place
Quels sont les incontournables de la ville ?,find_place
Je voudrais visiter un site culturel,find_place
Peux-tu me montrer des lieux naturels ?,find_place
Quels parcs puis-je visiter ?,find_place
Où se trouve la tour Hassan ?,find_place
Je cherche un endroit calme pour me promener,find_place
Montre-moi les plus beaux monuments,find_place
Quels sont les lieux populaires près de moi ?,find_place
Je veux voir des attractions touristiques,find_place
Peux-tu me proposer une visite culturelle ?,find_place
What places should I visit in Rabat?,find_place
Show me some tourist attractions,find_place
Any interesting monuments nearby?,find_place
I want to see historical sites,find_place
Can you recommend a museum?,find_place
Where can I find the Kasbah?,find_place
What are the must-see landmarks here?,find_place
Suggest a nice place to visit,find_place
What are the top sights in town?,find_place
I'd like to visit a cultural site,find_place
Can you show me some natural spots?,find_place
Which parks can I visit?,find_place
Where is the Hassan Tower?,find_place
I'm looking for a quiet place to walk,find_place
Show me the most beautiful monuments,find_place
What are the popular places near me?,find_place
I want to see tourist attractions,find_place
Can you suggest a cultural tour?,find_place
Où puis-je manger ce soir ?,find_restaurant
Je cherche un bon restaurant,find_restaurant
Des idées de restaurants pas chers ?,find_restaurant
Quel est le meilleur endroit pour manger du poisson ?,find_restaurant
Je veux manger marocain,find_restaurant
Peux-tu me suggérer un café sympa ?,find_restaurant
Où trouver un restaurant pas loin ?,find_restaurant
Recommande-moi un bon resto,find_restaurant
"J'ai faim, où puis-je aller ?",find_restaurant
Un bar avec une belle vue ?,find_restaurant
Quel restaurant propose des tajines ?,find_restaurant
Je cherche un endroit pour prendre un café,find_restaurant
Où puis-je dîner en famille ?,find_restaurant
Connais-tu un bon restaurant italien ?,find_restaurant
Je veux un endroit pour le petit-déjeuner,find_restaurant
Où boire un verre le soir ?,find_restaurant
Quel restaurant a les meilleurs avis ?,find_restaurant
Je cherche un fast-food pas cher,find_restaurant
Peux-tu me trouver un restaurant halal ?,find_restaurant
Où manger une pâtisserie marocaine ?,find_restaurant
Where can I eat tonight?,find_restaurant
I'm looking for a good restaurant,find_restaurant
Any cheap food places nearby?,find_restaurant
What's the best place for seafood?,find_restaurant
Can you suggest a nice cafe?,find_restaurant
I'm hungry where should I go,find_restaurant
Recommend me a good restaurant please,find_restaurant
Where can I get a drink tonight?,find_restaurant
Which restaurant serves tajine?,find_restaurant
I want a place for breakfast,find_restaurant
Where can I have dinner with my family?,find_restaurant
Do you know a good Italian restaurant?,find_restaurant
What restaurant has the best reviews?,find_restaurant
I'm looking for a cheap fast food place,find_restaurant
Can you find me a halal restaurant?,find_restaurant
Where can I try Moroccan pastries?,find_restaurant
